X1,X2,X3,fitness_value
-0.0137112,0.263208,-0.135502,1.70215
0.00094086,0.261379,-0.13902,1.70239
-0.0118993,0.263801,-0.13535,1.70417
-0.0118993,0.263801,-0.13535,1.70417
-0.0219114,0.262553,-0.136009,1.70475
-0.0150896,0.263621,-0.135466,1.70488
-0.0243154,0.262182,-0.136308,1.70546
-0.0212418,0.263153,-0.135509,1.70578
-0.0134371,0.263476,-0.136137,1.70585
-0.017263,0.262657,-0.137263,1.70726
-0.0113148,0.264778,-0.135832,1.71111
-0.0114359,0.263559,-0.137657,1.7112
-0.00443893,0.263659,-0.137952,1.7112
-0.0134374,0.263616,-0.137479,1.71159
-0.0145651,0.263764,-0.137227,1.71193
-0.0016796,0.263599,-0.138306,1.71194
-0.0113758,0.263724,-0.137785,1.71256
-0.00696311,0.263569,-0.138387,1.71275
-0.0107738,0.263655,-0.138003,1.71279
-0.00601674,0.263666,-0.138321,1.71286
-0.0109801,0.263683,-0.138073,1.71327
-0.00776457,0.263597,-0.138467,1.71337
-0.0103364,0.263111,-0.139047,1.71357
-0.0021176,0.26358,-0.138816,1.71376
-0.00537915,0.263566,-0.1388,1.71399
-0.0117217,0.263825,-0.138054,1.71423
-0.0110411,0.263544,-0.138553,1.71432
-0.00935802,0.264875,-0.136727,1.71434
-0.016999,0.26325,-0.138382,1.71454
-0.0141115,0.264806,-0.136703,1.71552
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0137112,0.263208,-0.135502,1.70215
