X1,X2,X3,pbest
-4.31903e-08,1.08972e-08,1.1689e-07,1.93993e-07
-2.97316e-08,1.15845e-08,-4.39135e-08,1.2536e-07
-2.00291e-07,-9.30986e-07,1.45039e-06,4.00704e-06
-3.36208e-08,4.03691e-08,-2.81342e-08,1.37629e-07
-2.95381e-08,-9.59333e-10,8.4588e-08,1.40195e-07
7.05971e-08,1.70216e-06,-3.26127e-07,4.00585e-06
0.124804,0.0232869,-0.0656435,0.0164001
-3.25662e-08,-4.24504e-08,1.4245e-07,1.92313e-07
-8.34103e-06,2.53052e-05,3.45929e-07,6.32008e-06
-0.00344597,0.00795815,-0.0123128,0.000404329
-6.00344e-08,1.57428e-08,1.8507e-08,1.49568e-07
-2.96028e-08,4.71271e-09,1.56522e-08,7.8095e-08
-6.34472e-06,1.26738e-05,2.24181e-05,6.12639e-05
-9.12136e-06,-3.4302e-06,-9.71667e-07,2.26185e-05
-1.86221e-08,-3.41323e-08,1.14612e-08,9.36135e-08
-3.16811e-08,-1.74582e-08,3.17716e-08,1.06789e-07
-3.89268e-08,-2.82976e-08,2.79341e-07,1.90363e-07
-6.9542e-08,1.86519e-07,6.45513e-07,1.56003e-06
-2.99228e-08,4.4082e-09,-9.07193e-09,7.29238e-08
-2.94219e-08,7.80759e-09,2.59782e-09,7.05543e-08
-3.26411e-08,1.84806e-08,2.16111e-07,2.02802e-07
0.000403364,-0.000125204,0.00491991,0.0118366
-9.55896e-08,1.83717e-06,5.16112e-07,4.41259e-06
-3.18902e-08,2.37294e-08,3.0284e-09,9.20648e-08
-2.31631e-08,-6.62694e-08,-2.15884e-07,5.24261e-07
1.76975,-0.191511,1.58498,0.234467
-4.94883e-07,8.91106e-06,-1.79181e-05,4.39062e-06
3.82403e-06,1.62472e-07,4.00559e-06,1.66308e-06
-2.97692e-08,5.26928e-09,6.99431e-09,7.16618e-08
-2.70982e-08,-4.15929e-08,2.93311e-08,1.33158e-07
gbest_X1,gbest_X2,gbest_X3,gbest
-2.94219e-08,7.80759e-09,2.59782e-09,7.05543e-08
